id,class,abstract
0,1,tignan inanunsyo ni pangulong rodrigo duterte na ang ikalawang Bayanihan Bakunahan ay magaganap ngayong Disyembre 15 17  2021
1,0,As of December 7 2021 narito ang bilang ng confirmed cases ng COVID19 dito sa Pilipinas.
2,1,tignan Nitong Disyembre 6 2021 dumating sa bansa ang pinakabagong shipment ng 1085760 na doses ng Pfizer vaccines na binili ng gobyerno.
3,0,"COVID19PH Nakatala ang Department of Health ng karagdagang 356 mga bagong kaso ng COVID-19 sa bansa ngayong Martes, Disyembre 7 Pumapalo na sa kabuuang bilang na 2 835 345 ang naitatalang kaso sa Pilipinas CoronavirusPH"
4,0,COVID19PH UPDATE Naitala ngayong araw ang panibagong 356 na kaso ng COVID-19 sa bansa Samantala ay mayroon na naitalang 871 na gumaling at 92 ang pumanaw ayon sa DOHgovph
5,0,"Noong nagsimula ang COVID-19 pandemic, tanging limitadong e-Dalaw lang kasi gamit ang computer ang pinapayagan para sa mga inmate Linggo lang nang sabihin ng BJMP ba ibubukas na nila ang no contact visitations ngayong holiday season COVID19PH"
6,0,UMABOT lamang sa 356 ang naitalang bagong kumpirmadong kaso ng COVID 19 sa bansa ngayong araw Disyembre 7. Ito na ang ika-14 na araw na mas mababa sa 1000 ang karagdagang kumpirmadong kaso ng sakit COVID19PH  mula DOHgovph
7,1,TINGNAN Nagpahayag ng pasasalamat si Pangulong Rodrigo Duterte sa ating healthcare workers volunteers at govt officials na nagtulung-tulong upang makamit natin ang tagumpay sa programang Bayanihan Bakunahan ng pamahalaan
8,1,COVID19PH Mild lang ang naidudulot ng Omicron variant sa mga pasyente ng COVID-19 base sa mga naglalabasang mga ebidensya ayon kay Department of Health DOH Secretary Francisco Duque III
9,1,Ito ang pahayag ang unibersidad ngayong Martes sa gitna ng mas nakahahawang Omicron  variant kahit na tuloy tuloy na ang pagbaba ng bagong COVID 19 cases sa Pilipinas COVID19PH
10,0,umakyat sa ika 57 puwesto ang Pilipinas na may markang 53 5 sa pinakabagong Nikkei COVID-19 Recovery Index na inilabas kahapon Disyembre 6 COVID19PH mula NikkeiAsia
11,0,Nasa 98 84 o 177 886 na ang gumaling mula sa  COVID19PH sa Quezon City Ayon sa QC Epidemiology and Disease Surveillance Unit CESU 471 ang kumpirmadong active cases mula sa 179 977 na kabuuang bilang ng nagpositibo sa lungsod
12,0,COVID19PH Hindi na muna daragdagan ng Inter Agency Task Force for the Management of Emerging Infectious Diseases IATF ang mga bansa na nasa ilalim ng Red list
13,0,COVID19PH Hindi pa natatagpuan ang walong biyaheo na dumating sa bansa mula sa South Africa dahil sa mali o kulang na personal information ayon sa Department of Health
14,1,TINGNAN Inaasahan ni Pangulong Rodrigo Duterte  na magiging mas maganda ang darating na mga araw kung patuloy na makakapagtala ang bansa ng mas kaunting aktibong kaso ng COVID 19
15,0,As of December 6  2021  narito ang bilang ng confirmed cases ng COVID 19 dito sa Pilipinas COVID19PH
16,1,TINGNAN Inanunsyo ni Pangulong Rodrigo Duterte na ang ikalawang Bayanihan Bakunahan ay magaganap ngayong Disyembre 15 17 2021
17,1,COVID19PH Naniniwala si Pangulong Rodrigo Duterte na bubuti ang hinaharap para sa bansa dahil na rin sa patuloy na pagbaba ng kaso ng coronavirus disease COVID-19
18,1,TINGNAN Dumating na sa Pilipinas ang karagdagang doses ng Moderna vaccines na binili ng pamahalaan sa NAIA Terminal 1 nitong December 6 2021
19,1,COVID19PH Tinanggap ng Pilipinas nitong Lunes ng gabi ang mahigit 2 million doses ng Pfizer BioNTech at Moderna COVID 19 vaccines
20,1,Wala pang naitatala na COVID 19 transmission sa mga paaralang may pilot face to face classes ayon sa DepEd
21,1,Dagdag pa ng DOHgovph nasa low risk classification na ang lahat ng rehiyon sa bansa pagdating sa health systems capacity o kapasidad ng mga ospital at health facilities na tumututok sa mga kaso ng COVID 19
22,1,Wow Good luck ulit sa atin COVID19PH
